0,1
나라면 나와 결혼할까?,"['저자', '풍부하다', '경험', '감성', '글', '사랑', '이', '이야기', '그녀', '책', '밀리언셀러', '수백만', '독자', '찬사', '바', '있다', '년', '년', '중국', '올해', '베스트셀러', '대상', '연패', '인터넷', '소통', '시대', '새롭다', '여성', '호칭', '화려하다', '과시', '무대', '인하다', '직접', '만남', '소통', '갈수록', '삭막하다', '있다', '오늘날', '현대인', '감성', '깊다', '심연', '일', '연인', '가족', '친구', '낯선', '사람', '세상', '속', '길다', '소소하다', '이야기', '외롭다', '마음', '따뜻하다', '긍정', '삶', '태도', '그녀', '글', '독자', '마음', '위로', '선물', '단계', '훌쩍', '성장하다', '있다', '자신', '만날', '수', '있다', '이', '책', '글', '담백하다', '섬세하다', '독자', '훈계', '듯이', '가식', '지도', '닭고기', '수프', '따스하다', '위안', '전해', '것', '아니다', '독자', '후', '이의', '글', '깨달음', '가시', '있다', '생선', '수프', '같다', '댓글', '수많다', '이의', '공감', '화제', '이렇다', '배경', '그녀', '채', '이력', '한몫', '잡지', '칼럼니스트', '광고', '카피라이터', '영화', '대본', '대중가요', '작사', '독자', '감성', '여러', '분야', '호평']"
기분을 관리하면 인생이 관리된다,"['장', '감당', '힘드다', '시련', '계속', '있다', '그대로', '온전', '마주', '함', '이야기', '우리', '하루', '결정', '환경', '기분', '방법', '대해', '담담하다', '있다', '장', '마음', '적당하다', '거리', '필요하다', '인간관계', '때', '스스로', '태도', '가치관', '대한', '이야기', '불필요하다', '관계', '우리', '관계', '디톡스', '조언', '있다', '장', '삶', '대하', '알맞다', '온도', '겨울', '봄', '모든', '것', '괜찮다', '거', '저자', '따뜻하다', '위로', '있다', '마지막', '장', '마음', '속', '깊이', '온기', '삶', '우리', '마음속', '꼭', '지니', '있다', '마인드', '대한', '이야기', '있다', '자신', '솔직하다', '원하다', '때', '나', '어떻다', '사람', '어떻다', '생각', '제대로', '때', '이', '책', '책', '때', '한결', '더', '세상', '맑다', '또렷하다', '기분', '수', '있다', '것', '기분', '그날', '하루', '기분', '별로', '좋다', '날', '어떻다', '일', '해도', '과정', '결과', '마음', '기분', '좋다', '날', '상대방', '나', '실수', '수', '있다', '여유', '생기', '하루', '모든', '것', '긍정', '생각', '우리', '하루', '결정', '기분', '기분', '관리', '일', '하루', '안', '수많다', '사람', '수많다', '상황', '때문', '내', '마음대로', '삶', '우리', '사람과', '관계', '위해', '내', '마음', '감정', '조금', '더', '자신', '리기', '상황', '휘', '잘', '못', '선택', '리기', '그렇다', '사람', '더', '이상', '자신', '상황', '휘', '둘리', '사람과', '사람', '사이', '관계', '불행', '대처', '방법', '부정', '생각', '때', '극복', '마음가짐', '등등', '저자', '우리', '하루', '결정', '기분', '관리', '방법', '대한', '실질', '조언']"
당신이라는 기적,"['생애', '첫', '책', '통해', '단숨', '베스트셀러', '작가', '등', '극한', '정한경', '두', '에세이', '삶', '작', '진정', '소중하다', '것', '발견', '꾸준하다', '그', '느리다', '깊숙하다', '발걸음', '이', '책', '당신', '기적', '저자', '어떻다', '슬픔', '당신', '무너뜨릴', '수', '없다', '어떻다', '행복', '당신', '자신', '중요하다', '말', '슬픔', '행복', '아픔', '기쁨', '모두', '계속', '당신', '가장', '중요하다', '이야기', '임', '고백', '몸', '발걸음', '재촉', '당신', '그', '깊다', '위로', '속', '우리', '다른', '누군가', '아니다', '스스로', '마음', '깊다', '곳', '자신', '대견하다', '위로', '목소리', '수', '있다', '연인', '마지막', '시간', '속', '다툼', '사실', '끝', '사랑', '노력', '음', '끝내', '못', '꿈', '앞', '좌절', '것', '최선', '증거', '음', '당신', '늘', '당신', '최선', '음', '일', '당신', '당신', '기적', '선물', '준비', '작가', '고민', '대화', '당신', '기적', '섬세하다', '이야기', '당신', '머리', '평안', '더', '이상', '두렵다', '내일', '그릴', '수', '있다', '것', '오늘', '누구', '당신', '스스로', '먼저', '당신', '마음', '속', '모든', '사랑', '위로', '힘껏', '조금', '서투르다', '충분하다', '길다', '하루', '이별', '아픔', '시간', '당신', '것', '상처', '아니다', '음', '그', '시간', '당신', '결코', '혼자', '아니다', '음', '내일', '두렵다', '사실', '전', '마음', '책', '꾹꾹', '평범하다', '듯', '일상', '당연하다', '듯', '관계', '속', '삶', '가치', '책', '통해', '발견', '문득', '알', '것', '당신', '존재', '곧', '적임', '자신', '것', '익숙하다', '우리', '계획', '일', '자기', '탓', '일쑤', '남', '칭찬', '끝내', '자신', '향', '못', '튕겨낸다', '어쩌면', '우리', '자신', '엄격하다', '건', '아니다', '고독', '시간', '위로', '작가', '더', '이상', '당신', '시련', '아픔', '없다', '것', '말', '그', '아픔', '시간', '깊이', '마음', '조용하다', '그', '마음', '것', '때로는', '필요하다', '위로', '부임', '알', '있다', '어떻다', '판단', '충고', '이해', '것', '마음', '마지막', '온', '마음', '괜찮다', '말']"
나는 당신이 행복했으면 좋겠습니다,"['나', '당신', '행복하다', '좋다', '저자', '삶', '속', '사랑', '사람', '대하', '행복', '대한', '생각', '이야기', '글', '때로는', '현실', '조언', '때로는', '위로', '적절하다', '상황', '현명하다', '수', '있다', '이', '책', '속', '이야기', '당신', '진정하다', '행복', '수', '있다', '곁', '응원', '친구', '이자', '코치', '것']"
당신은 결국 무엇이든 해내는 사람,"['내', '장례식', '누가', '를', '통해', '수많다', '독자', '사랑', '김상현', '작가', '신작', '년', '간', '전작', '통해', '인간관계', '행복', '대해', '따뜻하다', '시선', '위로', '문장', '전', '신작', '당신', '무엇', '사람', '더', '나', '자신', '제대로', '수', '있다', '힘', '수많다', '시행착오', '불구', '우리', '무엇', '낼', '수', '있다', '사람', '임', '희망', '믿음', '문장', '장', '삶', '것', '남지', '것', '같다', '때', '좌절', '무기', '해지', '불안하다', '날', '속', '나', '속도', '과정', '있다', '장', '불안하다', '어떠하다', '고민', '없다', '거', '불안하다', '것', '지금', '더', '나은', '방향', '것임', '긍정', '다짐', '자세', '통해', '이야기', '있다', '마지막', '장', '무엇', '무엇', '그', '어떻다', '길이', '반드시', '원하다', '목적지', '도착', '것', '위로', '우리', '무엇', '수', '있다', '사람', '희망', '전하', '있다', '삶', '아무', '것', '남지', '것', '같다', '때', '무엇', '알', '수', '없다', '막막하다', '때', '이', '책', '당신', '걸음', '더', '희망', '메시지', '줄', '것']"
모든 것은 기본에서 시작한다,"['겸손하다', '네', '모든', '것', '너', '것', '아니다', '감사', '하라', '세상', '자의', '것', '삶', '멀리', '욕심', '마음', '손흥민', '선수', '아버지', '이자', '축구', '지도자', '로서', '세계', '주목', '있다', '손웅정', '감독', '메시지', '삶', '본질', '초점', '있다', '축구선수', '자신', '경험', '반추', '나', '안', '생각', '손흥민', '선수', '직접', '교육', '본기', '중요성', '강조', '기술', '데', '것', '아니다', '선수', '사람', '손웅정', '교육', '방향', '삶', '방식', '사람', '회', '반향', '그', '이', '책', '통해', '최초', '자신', '삶', '궤', '생각', '담담하다', '그', '어떻다', '삶', '그', '철학', '어떻다', '것', '시절', '가난', '막', '수', '없다', '축구', '대한', '의지', '축구', '잘', '마음', '스스로', '담금질', '시간', '프로', '선수', '시절', '은퇴', '후', '녹록하다', '시절', '이야기', '아들', '축구', '연구', '개발', '훈련', '법', '손흥민', '선수', '독일', '영국', '생활', '온', '생각', '평생', '책', '은혜', '말', '손웅정', '감독', '누군가', '작다', '도움', '수', '있다', '바람', '자신', '이야기', '많다', '이', '궁금하다', '알', '손웅정', '축구', '철학', '교육', '철학', '삶', '철학', '우리', '삶', '또', '하나', '지침', '것']"
한 개의 기쁨이 천 개의 슬픔을 이긴다: 삶과 태도에 관하여,"['년차', '변호사', '직접', '보고', '드라마', '더', '드라마', '같다', '인생', '이야기', '책', '실제', '스토리', '바탕', '진하다', '여운', '선사', '드라마', '에세이', '총', '권', '세상', '선', '권', '삶', '태도', '편', '우리', '어떻다', '관계', '속', '앞', '어떻다', '관계', '속', '권', '일과', '선택', '편', '가족', '동료', '이웃', '소소하다', '다툼', '비즈니스', '협상', '누구', '갈등', '선택', '상황', '분쟁', '후회', '해결', '흥미진진', '에피소드', '지략', '이', '책', '이야기', '하나', '하나', '농밀함', '짙다', '마치', '단편', '드라마', '듯', '높다', '완성', '자신', '아들', '직접', '경찰서', '신고', '아버지', '사연', '수십', '년', '존경', '남편', '충격', '실체', '맞닥뜨린', '부인', '이야기', '좋다', '마음', '만원', '택시', '비', '억', '천만원', '기막히다', '스토리', '등', '반전', '반전', '거듭', '인생', '묘미', '채', '희로애락', '소용돌이', '응축', '있다', '드라마', '이상하다', '변호사', '우영', '우의', '에피소드', '사건', '원작', '일부', '사용']"
잘했고 잘하고 있고 잘 될 것이다(20만 부 기념 개정판),"['작가', '말', '당신', '힘들다', '당신', '아프다', '상처', '마음', '알', '있다', '관성', '내일', '맞이', '당신', '이', '책', '좋다', '지난', '외롭다', '오늘', '당신', '사람', '응원', '것', '우리', '우리', '응원', '것', '것', '조건', '이유', '오늘', '당신', '정말', '고생', '많다', '우리', '모두', '전혀', '다름없다', '힘겹다', '움', '것', '여기', '있다', '이야기', '나', '이야기', '이자', '당신', '이야기', '일', '것', '만', '부', '돌파', '기념', '개정판', '편의', '밉다', '공개', '원고', '수록', '올해', '문장', '위', '선정', '힘들다', '기어', '코', '삶', '당신', '혼자', '마음', '간', '문장', '년', '월', '간', '후', '년', '간', '만', '부', '이상', '판매', '기록', '에세이', '베스트셀러', '굳다', '자리', '잘', '잘', '있다', '것', '다가', '새롭다', '단장', '간', '그것', '사랑', '연습', '등', '이전', '도서', '통해', '만', '독자', '사랑', '작가', '정영욱', '이', '책', '통해', '변하다', '당신', '과거', '현재', '미래', '응원', '언제', '고', '응원', '마음', '작가', '편의', '밉다', '공개', '원고', '이', '책', '수록', '세기', '위', '권', '도서', '선정', '당신', '참으로', '힘들다', '바쁘다', '테', '허겁지겁', '테', '테', '상처', '아프다', '테', '다시', '대도', '아주', '테', '아프다', '마음', '새', '쓰리다', '곳', '다시', '테', '독보', '에세이스트', '정영욱', '다시', '권', '위로', '그렇다', '오늘', '밤', '이', '책', '당신', '잘', '잘', '있다', '것', '주', '연속', '에세이', '베스트셀러']"
나로서 충분히 괜찮은 사람,"['이제', '우리', '김재식', '작가', '내', '안', '여행', '차례', '내', '알', '있다', '생각', '나', '속마음', '처음', '내', '모습', '모두', '비로소', '모든', '것', '괜찮다', '나', '나로', '충분하다', '괜찮다', '사람', '말', '수', '있다', '것', '오늘', '괜찮다', '사람', '위해', '모든', '이', '이', '책', '반드시', '선물', '같다', '책', '것', '눈치', '못', '행복', '나로', '충분하다', '괜찮다', '사람과', '작다', '행복', '하나', '발견', '다섯', '권', '에세이', '모두', '베스트셀러', '열', '명실', '공', '한국', '대표', '에세이스트', '로서', '자리다', '김', '김재식', '작가', '년', '신작', '에세이', '나로', '충분하다', '괜찮다', '사람', '그', '시끄럽다', '세상', '잠시', '뒤로', '조용하다', '섬', '훌쩍', '내', '안', '나', '집중', '삶', '살', '보기', '시작', '곳', '내', '진정', '원하다', '것', '무엇', '내', '안', '어떻다', '고민', '있다', '앞', '어떻다', '모습', '행복하다', '위해', '어떻다', '것', '집중', '위해', '스스로', '마음', '공감', '위로', '글', '총', '편의', '글', '신간', '나로', '충분하다', '괜찮다', '사람', '이전', '한층', '더', '깊이', '있다', '문장', '통찰', '있다', '시선', '김재식', '작가', '수', '있다', '삶', '대한', '진솔하다', '고민', '따뜻하다', '응원', '가득하다', '오늘', '새벽', '잠', '못', '괜찮다', '사람', '노력', '당신', '에세이스트', '김재식', '년', '선사', '따뜻하다', '공감', '응원', '편지']"
H마트에서 울다,"['마트', '팝', '밴드', '재패니즈', '브렉', '퍼스트', '보컬', '이자', '한국', '미국인', '미셸', '너', '뭉클하다', '성장기', '에세이', '간', '즉시', '미국', '서점가', '베스트셀러', '오른', '이', '책', '년', '뉴욕', '타임스', '같다', '유수', '언론', '매체', '아마존', '등', '올해', '책', '선정', '버락', '오바마', '추천', '도서', '기도', '우리', '엄마', '왜', '이렇다', '여느', '미국', '엄마', '다른', '자신', '한국인', '엄마', '이해', '수', '없다', '딸', '뮤지션', '길', '엄마', '점점', '더', '작가', '세', '때', '엄마', '급작스레', '암', '투병', '끝', '죽음', '적', '한국', '문화', '접', '엄마', '한국인', '정체', '희미하다', '감', '날', '작가', '한인', '마트', '식', '재료', '사서', '직접', '요리', '엄마', '생생하다', '추억', '마트', '그로', '위안', '자신', '고유', '정체', '대해', '담담하다', '섬세하다', '감동', '에세이']"
